这个场面就尴尬了	某君酒醉,误入女厕呕吐.恰逢一女正在小解,某君听到怒曰：&lsquo;说了不喝,怎么还倒酒？&rsquo;女闻声急停,不料却憋出个屁来,君闻声大怒：&lsquo;谁他妈又开一瓶!&rsqu	9 小时前 10:18 来自内涵段子
是梁山伯与祝英台的故事中的一个动作	小红是个胖妹纸，以前短头发，　　戴上眼镜，别人叫她韩红。　　后来留长发扎上了，叫她刘欢。　　现在烫完小卷了，叫她迪克牛仔。　　是不是她剃完头就是臧天朔了。	9 小时前 10:18 来自内涵段子
还是大妈想的周全啊。	少女夜半归家,遭七暴徒,危险时一大妈挺身而出,救走少女自遭强暴,电台采访,大妈言：其实当时啥也没想,只想这点好事可不能全便宜了那小骚娘们儿!	9 小时前 10:18 来自内涵段子
孙悟空最不喜欢什么粥	路人向一户人家借宿，那人家只有一个女人，倚靠着大门说道：“我家里没有人。”路人：“你不是人吗？”女人：“我家里没有男人。”路人	9 小时前 10:17 来自内涵段子
这个就是你不对了	村妇报案说:丢人那!俺昨晚被强奸了.警察问他那人长啥样?那俺可没看清楚,不过肯定是个新手,因为他半天找不着地方,最后还是俺给他扶进去的.	9 小时前 10:17 来自内涵段子
只羡鸳鸯不羡仙。	我一哥们儿，练体育的。一天用一旅行袋提俩哑铃去体校，60kg，遇到两个骑摩托的抢包贼，伸手就把我哥们儿的包给抢了。然后摩托车就翻了&hellip;&hellip;　　有个漂亮m	9 小时前 10:17 来自内涵段子
这既是最爱好的礼物吧	老人临终前，准备给儿子分遗产。老人对大儿子说：“你媳妇快生小孩了，把存折留给你。”对二儿子说：“你马上就要结婚，我把房子留给你。”对小儿	9 小时前 10:17 来自内涵段子
我不会娶你妈的。。	最近感觉记忆力下降得厉害，于是就找了一个记事本，把每天重要的事情都记下来。可是今天早上起来，差不多把床都拆了，愣是没找到记事本&hellip;&hellip;　　女：你会娶	9 小时前 10:16 来自内涵段子
我们就是玩玩啊。	一男子到精神病院去实习。 没想到，刚刚进去就有个人拿把菜刀向他狂奔而来！ 男子吓的拔腿就跑，结果跑到了死胡同里。  男子心想这下完了，于是跪下来开始求饶！ 结果	9 小时前 10:16 来自内涵段子
无痛人流，从根源上免除您的烦恼。	和弟弟出来吃饭。他吃完拿出纸对我说：来，擦嘴！我说我还没吃完呢！弟说：没吃完就不能擦？我悠悠的看了他一眼：你没拉完屎你擦屁股么？　　今天打赌输给女友，帮她倒	9 小时前 10:16 来自内涵段子
